本文(120文字まで),言語,1,2,3,4,5,6,7,8,9,,,,
,日本語,科学,生物学,真核生物,,,,,,,,,,
,日本語,科学,生物学,真核生物,http://ja.m.wikipedia.org/wiki/%E7%9C%9F%E6%A0%B8%E7%94%9F%E7%89%A9,,,,,,,,,
,日本語,科学,生物学,真核生物,動物,,,,,,,,,
,日本語,科学,生物学,真核生物,菌類,,,,,,,,,
,日本語,科学,生物学,真核生物,植物,,,,,,,,,
,日本語,科学,生物学,真正細菌,,,,,,,,,,
,日本語,科学,生物学,古細菌,,,,,,,,,,
,日本語,科学,生物学,http://ja.m.wikipedia.org/wiki/%E7%94%9F%E7%89%A9%E3%81%AE%E5%88%86%E9%A1%9E#section_4,,,,,,,,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,,,,,,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,http://ja.m.wikipedia.org/wiki/%E8%84%8A%E7%B4%A2%E5%8B%95%E7%89%A9,,,,,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,,,,,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,http://ja.m.wikipedia.org/wiki/%E9%B3%A5%E9%A1%9E,,,,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,,,,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,http://ja.m.wikipedia.org/wiki/%E3%82%AB%E3%83%A2%E7%9B%AE,,,,,
カモ科（カモか、Anatidae）は、動物界脊索動物門鳥綱カモ目に属する科。別名ガンカモ科。,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,カモ科,,,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,カモ科,http://ja.m.wikipedia.org/wiki/%E3%82%AB%E3%83%A2%E7%A7%91,,,,
"日本では亜種マガモが冬鳥として北海道から南西諸島まで全国的に渡来する。
頭は暗緑色。くちばしは黄緑色。体長は50ｃｍ～65ｃｍ。",日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,カモ科,マガモ属,,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,カモ科,マガモ属,御領ヶ池で見られる野鳥（マガモ）のリンク,,,http://blog.jomon-no-mori.com/?eid=151
シマアジは、動物界脊索動物門鳥綱カモ目カモ科マガモ属に分類される鳥類。,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,カモ科,マガモ属,シマアジ,,,
,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,カモ科,マガモ属,シマアジ,野鳥2009年秋の初認結果のリンク,http://www.bird-research.jp/1_katsudo/waterbirds/gankamo/shonin2009.html,
,日本語,科学,生物学,真核生物,動物,脊索動物,鳥類,カモ目,カモ科,マガモ属,シマアジ,http://ja.m.wikipedia.org/wiki/%E3%82%B7%E3%83%9E%E3%82%A2%E3%82%B8_(%E9%B3%A5),,
好熱菌を中心とした古細菌の分類群である。27属57種の菌が含まれ、正式に発表されている古細菌のおおよそ2割弱を占める。,日本語,科学,生物学,古細菌,クレンアーキオータ門,,,,,,,,,
,日本語,科学,生物学,古細菌,クレンアーキオータ門,http://ja.m.wikipedia.org/wiki/%E3%82%AF%E3%83%AC%E3%83%B3%E3%82%A2%E3%83%BC%E3%82%AD%E3%82%AA%E3%83%BC%E3%82%BF%E9%96%80,,,,,,,,
種子植物のうち胚珠がむきだしになっているものを指す[1]。ソテツ類、イチョウ類、マツ類、グネツム類を含む。,日本語,科学,生物学,真核生物,植物,被子植物,,,,,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,種子の中の海　イチョウの精子と植物の生殖進化のリンク,http://www.kagakueizo.org/2009/04/post-114.html,,,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,http://ja.m.wikipedia.org/wiki/%E8%A2%AB%E5%AD%90%E6%A4%8D%E7%89%A9%E9%96%80,,,,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,双子葉植物,,,,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,双子葉植物,http://ja.m.wikipedia.org/wiki/%E5%8F%8C%E5%AD%90%E8%91%89%E6%A4%8D%E7%89%A9%E7%B6%B1,,,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,双子葉植物,シソ目,,,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,双子葉植物,シソ目,http://ja.m.wikipedia.org/wiki/%E3%82%B7%E3%82%BD%E7%9B%AE,,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,双子葉植物,シソ目,シソ科,,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,双子葉植物,シソ目,シソ科,http://ja.m.wikipedia.org/wiki/%E3%82%B7%E3%82%BD%E7%A7%91,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,双子葉植物,シソ目,シソ科,ローズマリー,,,,
,日本語,科学,生物学,真核生物,植物,被子植物,双子葉植物,シソ目,シソ科,ローズマリー,http://ja.m.wikipedia.org/wiki/%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%9E%E3%83%AA%E3%83%BC,,,
