本文(120文字まで),言語,1,2,3,4,5,6,7,8,9
,日本語,政治,選挙,一票の格差,説明記事,http://ja.wikipedia.org/wiki/%E4%B8%80%E7%A5%A8%E3%81%AE%E6%A0%BC%E5%B7%AE,,,,
,日本語,政治,選挙,一票の格差,動画説明,http://dailynews.yahoo.co.jp/fc/domestic/vote_disparity/,,,,
,日本語,政治,選挙,一票の格差,動画説明,http://www.youtube.com/watch?v=yW58m2mnkJ8,,,,
,日本語,政治,選挙,一票の格差,現状,鳥取と神奈川で5倍の格差,,,,
,日本語,政治,選挙,一票の格差,改善策,国民審査で投票する,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
,日本語,政治,選挙,,,,,,,
