本文(120文字まで),言語,1,2,3,4,5,6,7,8,9
,日本語,旅行,日本,四国,,,,,,
,日本語,旅行,日本,中部地方,,,,,,
,日本語,旅行,日本,中国地方,,,,,,
,日本語,旅行,日本,近畿,京都,,,,,
,日本語,旅行,日本,四国,香川,,,,,
,日本語,旅行,日本,四国,香川,オリーブ元気回復事業,http://www.yoi-kensetsu.com/genki/jirei/131.html,,,
,日本語,旅行,日本,四国,香川,うどん,,,,
小豆島ではオリーブ栽培が盛んに行われており、農地の確保が急務となっている。荒廃農地の再生、特に竹林の農地再生には多大な費用が要るため、放棄されており、この休耕農地の再生方法が課題となっている。,日本語,旅行,日本,四国,香川,小豆島,,,,
"ハワイというとまず思い浮かぶのが、
ワイキキなどの観光地周辺
高級なホテルやショップも建ち並ぶリゾート地として
あらゆる旅の楽しみが集約されている。",日本語,旅行,オセアニア,ハワイ,,,,,,
,日本語,旅行,オセアニア,ハワイ,ハワイアンカヌーについてのリンク,http://www.kamakurago.com/,,,,
,日本語,旅行,オセアニア,ハワイ,オアフ島,オアフ島,,http://www.geocities.jp/npoburasari/newpage9.html,,
,日本語,旅行,オセアニア,ハワイ,オアフ島,モアナルア・ガーデンパーク,,,,
,日本語,旅行,オセアニア,ハワイ,オアフ島,ワイキキ,,,,
,日本語,旅行,オセアニア,ハワイ,マウイ島,,,,,
,日本語,旅行,オセアニア,ハワイ,ハワイ島,,,,,
,日本語,旅行,オセアニア,ハワイ,カウアイ島,,,,,
,日本語,旅行,オセアニア,ハワイ,ラナイ島,,,,,
,日本語,旅行,オセアニア,ハワイ,モロカイ島,,,,,
,日本語,旅行,オセアニア,ハワイ,オアフ島,モアナルア・ガーデンパーク,日立の樹,,,
,日本語,旅行,オセアニア,ハワイ,オアフ島,モアナルア・ガーデンパーク,日立の樹,http://www.hitachinoki.net/profile/index.html,,
